English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi)
"However, Paes, who was partnering Australia's Paul Hanley, could only go as far as the quarterfinals where they lost to Bhupathi and Knowles",??????????? ?? ??? ????? ?? ??? ???? ????? ???? ??? ?????? ??? ????????????? ?? ?? ????? ??? ??????? ?? ??? ??? ?????? ????? ?? ????? ?? ????? ???,23,28,5
"Whosoever desires the reward of the world, with Allah is the reward of the world and of the Everlasting Life. Allah is the Hearer, the Seer.",?? ?? ???? (???? ???? ??) ???? ?????? ?? ??? ????? ?? ?? ????? ?? ??? ?????? ? ?????? ????? ?? ???? ????? ?? ?? ????? ?? ?? ???? ?? ????? ?? ???? ????? ??,26,35,9
"""The value of insects in the biosphere is enormous because they outnumber all other living groups in measure of species richness.","???-???? ??? ?????? ?? ????? ???? ??, ??????? ?????????? ?? ??????? ?? ????? ??? ???? ?????? ???? ??? ?????? ?? ??????? ???",21,22,1
Mithali To Anchor Indian Team Against Australia in ODIs,??????????? ?? ????? ???? ??? ?? ???? ?????? ??,9,9,0
"After the assent of the Honble President on 8thSeptember, 2016, the 101thConstitutional Amendment Act, 2016 came into existence","8 ????????, 2016 ?? ?????? ??????????? ?? ????????? ????? ?? ??? 101??? ??????? ?????? ???????, 2016 ????????? ??? ???",18,19,1
"""The court has fixed a hearing for February 12",????? ?? ?? ????? ??? ??? ?? ?????? ?? ??? ?? ????? ?? ?????? ?? ??,9,16,7
Please select the position where the track should be split.,"???? ?? ????? ?? ??????? ???? ???? ??, ????? ?? ????? ?????.",10,12,2
"As per police, armys 22RR, special operation Group (SOG) of police and the Central Reserve Police Force (CRPF) cordoned the village and launched search operation in the area.","???? ????? ??? ???? ?? 22 ????????? ??????? (????), ???????? ?? ????? ?? ?????? ?????? ????? (?????) ?? ?????? ?????? ????? ?? ???????? ?? ????? ?????? ??????",28,27,1
Jharkhand chief minister Hemant Soren,?????? ?? ??????????? ????? ????? (????? ??????),5,7,2
"Arvind Kumar, SHO of the sector 55/56 police station, said a case has been registered under section 376-D (gang rape) of the Indian Penal Code.",?????? 55/56 ?? ????? ?????? ????? ?? ????? ?? ?? ????? ??? ?????? ?? ???? 376-?? (???????) ?? ??? ????? ???? ?? ???? ??? ???,25,25,0
"Briefing media in New Delhi today, party's State-in-charge, Anil Jain said, after the meeting the party will meet the Governor to stake claim for government formation in the state.","?? ?? ?????? ??? ?????? ?? ?????? ??? ?????? ?? ????? ??????? ???? ??? ?? ????? ?? ???? ?? ??? ??????, ????? ?? ??? ?? ???? ??? ???? ?? ??? ???????? ?? ???????",29,33,4
"""Jesus responded, as he taught in the temple, """"How is it that the scribes say that the Christ is the son of David?""","??? ???? ?? ?????? ??? ????? ???? ??? ?? ???, ?? ???????? ??????? ???? ???, ?? ???? ???? ?? ?????? ???",23,21,2
Senior leaders of all major parties held electioneering in favour of their candidates.,??? ????? ????????? ?? ?????? ?????? ?? ????-???? ??????????? ?? ???? ??? ????? ?????? ?????,13,15,2
"Meanwhile, three people came there on a bike.",??? ??? ?? ???? ?? ??? ??? ??? ????? ????,8,10,2
Katrina shared the video on Instagram.,?????? ?? ?? ??????? ???? ?????????????? ??? ???? ????? ??.,6,10,4
He does this because he is angry at the alleged desecration of the Indian flag,"""?? ??? ????? ???? ??, ??????? ?? ?????? ?????? ?? ???? ????? ?? ??????? ??",15,15,0
Attempts to contact Randhawa on his mobile over the past one week have remained futile.,"?????? ?? ?? ????? ?? ???? ?????? ?? ??????? ???? ?? ????? ?? ???, ????? ??? ???? ?? ?????",15,19,4
"""The Alto 800 incorporates a Wavefront Design, a more traditional car look, compared to the Nano",???? ?? ????? ??? ????? 800 ?? ?????? ???????? ?? ?? ???????? ??? ?? ??? ????? ???,16,17,1
Share videos,?????? ????? ???? ???,,,0
"""""""Wunderlich and his wife, Petra, are both gardeners, who themselves graduated from a normal high school, which they attended """"""""not reluctantly,"""""""" Dirk said.""""""",????? ?? ???? ????? ?????? ????? ??????? ???? ??? ?? ?? ????? ??? ?? ??????? ??? ????? ?? ???? ??.,23,20,3
"""The Shias venerate him as a member of the family of imams, while the Sunni simply see him as a person of great sanctity.","????? ?????? ???? ?? ?????? ?? ????? ?? ??? ??? ???? ???? ???, ???? ?????? ?????? ???? ???????? ?? ??????? ?? ??? ??? ????? ????",24,25,1
"Hence, we must make sure we ourselves dont become careless, not allow anyone else do so","?????, ? ??? ??? ???????? ???? ?? ?? ? ?? ???? ?? ?? ???????? ???? ???? ??",16,17,1
"Mayawati, Akhilesh Yadav seal pact for 2019 polls: BSP-SP not to contest in Amethi, Raebareli","2019 ?? ??? ???????-?????? ?? ???? ?? ?????, ????? ???-???? ?? ?????? ?????? ?????",15,14,1
"""They are not seen anywhere.",????? ?? ???? ?? ????? ???? ?? ????,5,8,3
"Joseph dreamed a dream, and he told it to his brothers, and they hated him all the more.","?? ????? ?? ?? ?????? ????, ?? ???? ?????? ?? ???? ????? ???? : ?? ?? ?? ?? ?? ?? ????? ???? ????",18,23,5
"""They praise night and day, without ever tiring.",??? ?? ??? ???? ?????? ???? ???? ??? (??) ??? ?????? ???? ????,8,13,5
"Some intercity trains like Manmad-Mumbai Express, Gujarat Express, Saurashtra Express, Bandra-Terminus Surat Intercity Express and Mumbai Central-Ahmedabad Shatabdi Express have been cancelled, officials of the Central and Western Railways said.","???? ????? ??? ?????? ????? ?? ?????????? ?? ?????? ?????-????? ?????????, ?????? ?????????, ????????? ?????????, ??????? ??????? ???? ???????? ????????? ?? ????? ???????-???????? ??????? ????????? ???? ??? ???????? ??????? ?? ???? ?? ???? ??? ???",30,35,5
Both are safe and healthy.,??? ???????? ?? ???? ?? ???? ????,5,7,2
"He sees what they are going through in these critical times, and he knows their innermost feelings. 2 Timothy 3: 1. Acts 17: 27.","""?? ??? ???? ?? ?? ?? ‘ ?????? ?? ??? ????? ’ ??? ?????? ??? - ??? ?????????? ?? ????? ???? ??? ??? ?? ?? ?? ???? ??? ?? ?? ??? ????? ?? ? — 2 ????????? 3: 1. ????????? 17: 27.",24,42,18
New Delhi: Noted scientist Sivan K was appointed Chairman of the Indian Space Research Organisation on Wednesday.,????-???? ????????? ????? ??. ?? ?????? ???????? ???????? ????? (????) ?? ??????? ??????? ???? ??? ???,17,16,1
"""They raised slogans against the government and the administration.",???????? ??????? ?? ????? ?? ????? ???????? ???,9,8,1
"Satish, breeder and president of Indian Dog Breeders' Association, said two two-month-old pups, each costing Rs 1 crore, are flying in from China.",?????? ??? ?????? ???????? ?? ??????????? ?? ?????? ???? ????? ??? ?? ???????? ??? ?? 2 ????? ?? ?? ????? ?? ?????? ???,23,23,0
"""The Vice President said that India has consistently voiced the need to have a strong resolute response to terrorism and its manifestations and India is committed to working towards fighting and elimination of this menace.",???????????? ?? ??? ?? ???? ?? ??????? ?? ????? ?????? ???? ???? ?? ?? ??? ???? ???? ?? ??? ????? ????? ?? ???????? ???? ?? ????? ??? ???? ?? ???? ?? ????? ?? ???? ??????? ?? ??? ????????? ???,35,39,4
"""The amount allocated and utilized for passenger safety, capital and development work, cleanliness and finance and accounting reforms in Railways in the financial year 2016-17 is indicated below :-","?????????, ?????, ???, ????????? ??? ????? ?????? ?????? ?? ????????, ????, ?????? ??? ????? ??? ??????? ??????? ?? ????? ?????? ?? ?????? ?? ???? 2016-17 ?? ????? ?????? ?? ????? ??? ???? 2017-18 ?? ????? ?????? ??? 6.0 ??????? ?? ??????? ????",29,42,13
Im fine by the grace of God.,????? ?? ???? ?? ??? ??????? ??? ???.,7,8,1
But its still a long way to go.,????? ???? ???? ?? ??? ???? ?????? ???,8,8,0
Hockey: India to face Belgium in test series,???? ????? : ???? ?? ????????? ?? ?????? ?? ????,8,10,2
"Himandri and Bindu Rani, both friends, were from Karnals Salwan village.",????? ????? ?? ????? ???? ?? ???? ????? ???,11,9,2
"""The FIR Exhibit Ka-19",?????? ????????? ?? -19,,,0
Will it be in a private or government sector?,???? ?? ?????? ??????? ??? ?? ?? ???? ??????? ????,9,10,1
This caused panic among consumers.,?? ???? ?????????? ?? ??? ?????? ?? ??? ???,5,9,4
