English Sentences,Hindi Sentences,Word Count (English),Word Count (Hindi),Difference between Word Count (English) and Word Count (Hindi),translation,bleu,chrf,ter
We shall all be so grateful for any help that you and your Government may be able to render.,"आप और आपकी सरकार जो भी संभव मदद दे सकेंगे, उसके लिए हम सब आपके अत्यन्त कृतज्ञ होंगे।",19,18,1,हम सभी को आपके और सरकार का सहयोग करने में बहुत खुश होंगे।,2.911552192,19.75518755,94.44444444
"In its absence, the property will be classified as inherited property",इसके न होने पर संपत्ति को वंशागत संपत्ति माना जाता है।,11,11,0,"अत्यंत विनाशकारी संपत्ति के अधीन नहीं होने, यह प्राप्तकर्मियों द्वारा निर्धारित किए गए समय अवधि में शास्यकृत् रूप से वर्गीकृत किया जाता है।",3.741943603,31.77917244,190.9090909
Rupee Recovers From Record Low Of 74.46 Per US Dollar. Up 18 Paise,रुपया 24 पैसे मजबूत होकर 74.15 प्रत‍ि डॉलर पर खुला,13,10,3,"रुपये की स्थिति में रिकवरी हुई, और अमेरिका द्वारा प्रतिबंधित 74.46 पैसों पर आधुनिकतम वृद्धि दर 18 paisa बढ़ गई।",1.816084942,16.46784605,190
What is the size of the pharmaceutical packaging industry?,विश्व में फार्मा पैकेजिंग का कारोबार कितना बड़ा है?,9,9,0,"क्या प्राकृतिक स्वास्थ्य के लिए आवश्यक दवाओं की खुराक में वृद्धि होगी, या नहीं?",2.908317711,14.07360025,155.5555556
"Remaining part of the salary will be paid when sufficient funds are available, the letter stated.","’’ उन्होंने कहा, ‘‘शेष बचा वेतन तब दिया जाएगा जब पर्याप्त पैसे उपलब्ध होंगे।",16,14,2,"अंतिम भाग का वित्तीय राशि प्राप्त होने पर जब सीमित धन उपलब्ध हो तो, पत्र में उल्लेख किया गया।",2.519759344,22.51810092,128.5714286
"Total cases: 49,650. Active cases: 26,118. Deaths: 642","राज्य में कुल मामलों की संख्या 49,650, सक्रिय मामले 26,118, मृतकों की संख्या 642 हो गई है।",8,17,9,तीन सौ नौ हजार और तीस लोगों में वायरस के प्रभावी ढंग से पता लगाया गया,2.027468585,10.04151807,100
"She also worked in Tamil, Telugu, Hindi, Malayalam and Marathi movies.","साथ ही नेहा ने मराठी, तमिल, तेलगु, मलयालम और हिंदी फिल्मों में भी अपनी एक्टिंग और हुस्न का जलवा बिखेरा है।",11,21,10,"सी के साथ-समय पर तमिल, तेलुगु और हिंदी, मलयालम और मराठी फिल्मों में भाग लिया।",9.582102515,40.42429836,80.95238095
Kumbh Mela is a mass Hindu pilgrimage of faith in which Hindus gather to bathe in a sacred river.,"कुंभ मेला ( KUMBH MELA ) हिंदुओं द्वारा मनाया जाने वाला मेला है , जिसमें कई तादार में हिंदू एक पवित्र नदी पर इकठे होते हैं और उस नदी में स्नान करते हैं.",19,33,14,"कुम्भ मेला एक पौराणिक हिंदू धर्म के अनुष्ठानों से भरपूर भारतीय तीर्थयात्रा है, जिसमें लोग अपनी शुद्धता और आत्मनिर्वahan को दर्शाते हैं।",4.695896342,22.51816838,90.90909091
But she cared for him with love and affection and sought to instill spiritual values in him.,मगर उसने रेनाटो को बड़े प्यार और नाज़ों से पाला ।,17,11,6,लेकिन वह उसे प्यार और दया से उसकी ओर आकर्षित करती थीं  और उससे आध्यात्मिक मूलों को शामिल करने का प्रयास करती थीं।,3.916449665,22.24120963,200
"Holopainen has said in interviews that he did not wish to reveal her identity until new material was available because he did not want fans judging her by nothing more than a picture, or past work.","होलोपैनेन ने कई साक्षात्कारों में कहा कि वह उसकी पहचान प्रकट नहीं करना चाहते थे, जब तक कोई नई सामग्री उपलब्ध नही की जाती क्योंकि वे नही चाहते थे कि प्रशंसक उसे सिर्फ उसके चित्र या पूर्व के काम से उसे न आंके.",36,43,7,"होलोपेन्सन ने साक्षात्कारों में कहा है कि वह अपनी पहचान तक नहीं बताया, जब तक कि नए प्रासंगिक उपलब्धता पर उसके लिए समय नहीं चला। उन्होंने दिखाई दिया कि वो एक फोटो, या उनक",6.5329606,30.95324923,74.41860465
Both the countries discussed the existing bilateral cooperation initiatives in education and also agreed to further strengthen it by taking up several new initiatives.,दोनों ही देशों ने शिक्षा क्षेत्र में आपसी सहयोग की मौजूदा पहलों पर चर्चा की और इसके साथ ही अनेक नई पहल करके इसे और मजबूती प्रदान करने पर सहमति जताई।,24,31,7,"भारत और पाकिस्तान के बीच स्थित दोनों सहयोगी गतिविधियों में शिक्षा पर विचार करने को चर्चा करे, इसके अलावा, उन्होंने कई नए योजनाओं को आगे बढ़ाने के लिए एक समग्र रूप",1.88882093,24.88651026,96.77419355
"""The Delhi Police searched the area but could not find anything.",पुलिस ने इलाके में छानबीन की पर कोई सुराग नहीं मिला।,11,11,0,"दिल्ली पुलिस ने क्षेत्र में खोज नहीं हासिल करी।""",9.030367376,24.32101143,81.81818182
"""The garden complex is having many nearby tourist attractions as the Amer fort Palace, Jaigarh fort and Nahargarh fort along with much lush greenery.","इस उद्यान परिसर के निकट भरपूर हरा-भरा वन क्षेत्र एवं कई दर्शनीय स्थल हैं, जैसे आमेर दुर्ग, जयगढ़ दुर्ग, नाहरगढ़ दुर्ग।",24,21,3,"""ग्रांड का पार्क कई नजदीकी पर्यटन आकर्षणों से भरपूर है, जिसमें अमर फोर्ट पैलेस, जयगरह फॉर्ट और नेहारंग राजमहल शामिल हैं, इसके अलावा बहुत लush greenery मिलता है।""",2.956164512,19.93294356,123.8095238
"After that, the case has taken new turn.",इसके बाद इस मामले ने यू टर्न ले लिया.,8,9,1,अंततः केस में नया रूप ले गया।,4.278179265,10.88087074,88.88888889
Vermaji was not far from truth.,वर्मा जी ने ठीक ही कहा था।,6,7,1,वर्मजी के पास त्रुटि नहीं थी।,0,19.77933302,100
"""The results are expected to be announced in a couple of days.",अब कुछ ही देर में नतीजे जारी किए जाएंगे।,12,9,3,"""नतीजों को जल्द ही दिनों में घोषित करने वाला एक समूह होना चाहिए।",3.377156414,16.93710432,122.2222222
"As per the orders of the Controller of Patents, Mumbai compulsory license has been granted to M/s Natco for manufacture of an anti-cancer drug NEXAVAR.",पेटेंट नियंत्रक मुम्बई के आदेशों के अनुसार 'नेक्सावर' नामक कैसंररोधी औषधि के विनिर्माण हेतु मैसर्स नैटको को अनिवार्य लाइसेंस दिया गया है।,25,22,3,"मुंबई में पेटेंट निरीक्षण के आदेशों के अनुसार, एमएस नाटको द्वारा एक एंटी-संक्रामक दवाई एनेकवाडर बनाने पर मजबूर लाइसेंस सुनिश्चित कराया गया।",11.40842452,34.08739013,86.36363636
It didnt happen in my time.,मेरे कार्यकाल में ऐसा कुछ नहीं हुआ है।,6,8,2,अत्यंत कठिन में ही यह घटना नहीं घटी।,6.567274736,13.91883937,87.5
Delhi should get more in view of elections.,चुनावों को देखते हुए दिल्\\u200dली को अधिक महत्\\u200dता दी जानी चाहिए।,8,11,3,दिल्ली को चुनावों में अधिक देखना होगा।,2.071308609,22.22907792,81.81818182
"However, 33 candidates have already been elected unopposed.",33 सीटों पर राज्यसभा उम्मीदवार पहले ही निर्विरोध चुन लिए गए हैं.,8,12,4,"हालांकि, तीन३ उम्मीदवारों को वोट बिना हस्तक्षेप में चुना गया था।",0,22.47542416,100
"""""""We oppose the wrong stand taken by the Congress on CAA and NRC.""","उन्होंने कहा, ‘‘हम सीएए और एनआरसी पर कांग्रेस के गलत रुख का विरोध करते हैं।",13,15,2,"""हम विरोधी गलत दिशा को लेकर कांग्रेस पर सीएए और एनआरके पर अपनाने में सहमत नहीं हैं।""",5.328642243,39.71156891,100
"""The interest rates for customers availing a Home Loan above Rs 30 lakh have also been reduced by 10 basis points.","""वहीं 30 लाख के ऊपर के होम लोन पर ब्याज दर में 10 बेसिस प्वाइंट की कमी की गई थी।",21,20,1,"""क्लाइंट्स के लिए घर बिलों में अधिक राशि पर होने वाली दरें कम करने का प्रयास कर रहे हैं, जिसमें निवेश संबंधित शुल्क भी शामिल है।""",1.819687111,17.10035206,125
"He was taken to hospital, where he died.",उसे घायल अवस्था में अस्पताल ले जाया गया जहां उसकी मौत हो गई।,8,13,5,"वह को अस्पताल ले जाया गया, वहां उसकी मृत्यु हुई।",20.6840884,46.49386322,69.23076923
Ministry of Railways permits Downloaded e-Aadhar Card as prescribed proof of identity for Rail Travel Purpose,रेल मंत्रालय ने रेल यात्रा के लिए निर्धारित पहचान पत्र के रूप में डाउनलोड किए गए ई-आधार कार्ड को प्रमाण के रूप में अनुमति दी,16,25,9,रेलवे कार्यक्रमों में डाउनलोड्ड एएडHR परिस्थितियादायी संदेह पूर्वक राज्यालय देखभाल कर सकता है,1.227265347,20.84732512,96
"A statement issued by the state government said a public holiday has been declared for the districts of Thiruvananthapuram, Kollam, Pathanamthitta, Alappuzha and Idukki in the state.","राज्य सरकार की ओर से जारी बयान में कहा गया है कि राज्य के तिरुवनंतपुरम, कोल्लम, पथनमथिट्टा, अलप्पुझा और इदुक्की जिलों के लिए सार्वजनिक अवकाश घोषित किया गया है .",27,30,3,"अंतिम निर्णय के बाद मुख्यमंडल सरकार द्वारा एक सामान्य अवकाश घोषित कर दिया गया है जिसकी शुरुआत 1 अप्रैल से, पंजाब और हर राज्यों सहित सभी अधिकृत विभागों को लेकर तीन मह",3.890531293,28.61491911,93.33333333
